Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
50	:	1596909820.102	    32.229	0	35	0	0	python main_script.py 7 5 5
36	:	1596909820.066	    32.269	0	35	0	0	python main_script.py 7 4 25
32	:	1596909820.059	    32.277	0	35	0	0	python main_script.py 7 4 45
49	:	1596909820.100	    32.236	0	35	0	0	python main_script.py 7 5 10
34	:	1596909820.063	    32.279	0	35	0	0	python main_script.py 7 4 35
33	:	1596909820.061	    32.284	0	35	0	0	python main_script.py 7 4 40
39	:	1596909820.073	    32.286	0	35	0	0	python main_script.py 7 4 10
40	:	1596909820.075	    32.286	0	35	0	0	python main_script.py 7 4 5
44	:	1596909820.085	    32.283	0	35	0	0	python main_script.py 7 5 35
38	:	1596909820.070	    32.302	0	35	0	0	python main_script.py 7 4 15
42	:	1596909820.080	    32.292	0	35	0	0	python main_script.py 7 5 45
41	:	1596909820.077	    32.303	0	35	0	0	python main_script.py 7 5 50
48	:	1596909820.096	    32.285	0	35	0	0	python main_script.py 7 5 15
43	:	1596909820.082	    32.309	0	35	0	0	python main_script.py 7 5 40
47	:	1596909820.094	    32.309	0	35	0	0	python main_script.py 7 5 20
37	:	1596909820.068	    32.338	0	35	0	0	python main_script.py 7 4 20
46	:	1596909820.091	    32.320	0	35	0	0	python main_script.py 7 5 25
35	:	1596909820.064	    32.348	0	35	0	0	python main_script.py 7 4 30
45	:	1596909820.088	    32.342	0	35	0	0	python main_script.py 7 5 30
31	:	1596909820.057	    32.404	0	35	0	0	python main_script.py 7 4 50
29	:	1596909820.054	   116.063	0	371	0	0	python main_script.py 7 3 10
19	:	1596909820.035	   120.666	0	371	0	0	python main_script.py 7 2 10
18	:	1596909820.033	   121.173	0	370	0	0	python main_script.py 7 2 15
27	:	1596909820.050	   121.680	0	370	0	0	python main_script.py 7 3 20
9	:	1596909820.017	   121.765	0	371	0	0	python main_script.py 7 1 10
20	:	1596909820.036	   121.881	0	371	0	0	python main_script.py 7 2 5
7	:	1596909820.013	   122.023	0	371	0	0	python main_script.py 7 1 20
28	:	1596909820.052	   122.003	0	363	0	0	python main_script.py 7 3 15
17	:	1596909820.031	   122.611	0	370	0	0	python main_script.py 7 2 20
30	:	1596909820.056	   123.010	0	371	0	0	python main_script.py 7 3 5
8	:	1596909820.015	   123.226	0	372	0	0	python main_script.py 7 1 15
10	:	1596909820.018	   124.803	0	352	0	0	python main_script.py 7 1 5
26	:	1596909820.048	   133.195	0	371	0	0	python main_script.py 7 3 25
6	:	1596909820.011	   133.476	0	373	0	0	python main_script.py 7 1 25
16	:	1596909820.029	   138.200	0	371	0	0	python main_script.py 7 2 25
5	:	1596909820.009	   144.335	0	373	0	0	python main_script.py 7 1 30
25	:	1596909820.046	   147.150	0	369	0	0	python main_script.py 7 3 30
15	:	1596909820.027	   147.519	0	368	0	0	python main_script.py 7 2 30
14	:	1596909820.025	   160.835	0	369	0	0	python main_script.py 7 2 35
4	:	1596909820.007	   162.694	0	373	0	0	python main_script.py 7 1 35
23	:	1596909820.042	   163.463	0	371	0	0	python main_script.py 7 3 40
3	:	1596909820.005	   165.547	0	372	0	0	python main_script.py 7 1 40
24	:	1596909820.044	   166.157	0	355	0	0	python main_script.py 7 3 35
79	:	1596909820.183	   166.511	0	372	0	0	python main_script.py 10 3 10
13	:	1596909820.024	   167.719	0	370	0	0	python main_script.py 7 2 40
59	:	1596909820.127	   168.842	0	358	0	0	python main_script.py 10 1 10
78	:	1596909820.180	   169.365	0	370	0	0	python main_script.py 10 3 15
70	:	1596909820.158	   169.460	0	373	0	0	python main_script.py 10 2 5
58	:	1596909820.125	   169.494	0	373	0	0	python main_script.py 10 1 15
80	:	1596909820.200	   169.519	0	373	0	0	python main_script.py 10 3 5
67	:	1596909820.150	   169.587	0	373	0	0	python main_script.py 10 2 20
57	:	1596909820.122	   170.648	0	373	0	0	python main_script.py 10 1 20
69	:	1596909820.156	   170.901	0	357	0	0	python main_script.py 10 2 10
60	:	1596909820.130	   170.945	0	370	0	0	python main_script.py 10 1 5
68	:	1596909820.153	   171.179	0	372	0	0	python main_script.py 10 2 15
77	:	1596909820.177	   171.572	0	356	0	0	python main_script.py 10 3 20
99	:	1596909852.435	   139.580	0	370	0	0	python main_script.py 10 5 10
100	:	1596909852.465	   140.245	0	373	0	0	python main_script.py 10 5 5
98	:	1596909852.420	   140.460	0	374	0	0	python main_script.py 10 5 15
22	:	1596909820.040	   173.016	0	358	0	0	python main_script.py 7 3 45
88	:	1596909852.373	   140.805	0	372	0	0	python main_script.py 10 4 15
90	:	1596909852.380	   141.159	0	371	0	0	python main_script.py 10 4 5
87	:	1596909852.369	   141.519	0	369	0	0	python main_script.py 10 4 20
89	:	1596909852.376	   141.870	0	373	0	0	python main_script.py 10 4 10
12	:	1596909820.022	   174.237	0	370	0	0	python main_script.py 7 2 45
97	:	1596909852.416	   142.012	0	372	0	0	python main_script.py 10 5 20
2	:	1596909820.003	   174.861	0	373	0	0	python main_script.py 7 1 45
56	:	1596909820.119	   176.207	0	373	0	0	python main_script.py 10 1 25
1	:	1596909820.001	   176.930	0	371	0	0	python main_script.py 7 1 50
11	:	1596909820.020	   177.413	0	370	0	0	python main_script.py 7 2 50
96	:	1596909852.411	   145.263	0	371	0	0	python main_script.py 10 5 25
21	:	1596909820.038	   178.078	0	372	0	0	python main_script.py 7 3 50
86	:	1596909852.365	   146.573	0	371	0	0	python main_script.py 10 4 25
66	:	1596909820.147	   179.060	0	358	0	0	python main_script.py 10 2 25
76	:	1596909820.174	   179.361	0	358	0	0	python main_script.py 10 3 25
55	:	1596909820.116	   181.911	0	374	0	0	python main_script.py 10 1 30
75	:	1596909820.171	   181.996	0	371	0	0	python main_script.py 10 3 30
65	:	1596909820.144	   182.496	0	370	0	0	python main_script.py 10 2 30
95	:	1596909852.407	   151.151	0	357	0	0	python main_script.py 10 5 30
85	:	1596909852.360	   151.437	0	358	0	0	python main_script.py 10 4 30
64	:	1596909820.141	   185.973	0	372	0	0	python main_script.py 10 2 35
74	:	1596909820.169	   186.503	0	369	0	0	python main_script.py 10 3 35
84	:	1596909852.350	   154.666	0	372	0	0	python main_script.py 10 4 35
54	:	1596909820.113	   186.942	0	373	0	0	python main_script.py 10 1 35
94	:	1596909852.395	   155.953	0	370	0	0	python main_script.py 10 5 35
73	:	1596909820.166	   189.762	0	372	0	0	python main_script.py 10 3 40
63	:	1596909820.138	   190.273	0	371	0	0	python main_script.py 10 2 40
83	:	1596909852.346	   158.177	0	372	0	0	python main_script.py 10 4 40
93	:	1596909852.391	   158.345	0	358	0	0	python main_script.py 10 5 40
53	:	1596909820.111	   191.521	0	375	0	0	python main_script.py 10 1 40
72	:	1596909820.163	   193.639	0	372	0	0	python main_script.py 10 3 45
62	:	1596909820.136	   194.114	0	373	0	0	python main_script.py 10 2 45
82	:	1596909852.341	   163.110	0	374	0	0	python main_script.py 10 4 45
52	:	1596909820.108	   195.534	0	374	0	0	python main_script.py 10 1 45
92	:	1596909852.387	   164.380	0	357	0	0	python main_script.py 10 5 45
