Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1598684479.797	    31.424	0	382	0	0	python main_script.py 21 30
35	:	1598684479.820	    32.081	0	367	0	0	python main_script.py 27 30
29	:	1598684479.809	    32.207	0	381	0	0	python main_script.py 24 30
1	:	1598684479.757	    32.286	0	381	0	0	python main_script.py 10 30
19	:	1598684479.790	    32.365	0	380	0	0	python main_script.py 19 30
13	:	1598684479.779	    32.496	0	382	0	0	python main_script.py 16 30
3	:	1598684479.760	    33.204	0	383	0	0	python main_script.py 11 30
21	:	1598684479.794	    33.236	0	382	0	0	python main_script.py 20 30
17	:	1598684479.786	    33.884	0	381	0	0	python main_script.py 18 30
7	:	1598684479.768	    34.019	0	382	0	0	python main_script.py 13 30
27	:	1598684479.805	    34.036	0	384	0	0	python main_script.py 23 30
31	:	1598684479.813	    34.186	0	381	0	0	python main_script.py 25 30
15	:	1598684479.782	    34.250	0	382	0	0	python main_script.py 17 30
37	:	1598684479.824	    34.297	0	367	0	0	python main_script.py 28 30
25	:	1598684479.801	    34.320	0	383	0	0	python main_script.py 22 30
5	:	1598684479.764	    34.391	0	380	0	0	python main_script.py 12 30
11	:	1598684479.775	    34.421	0	382	0	0	python main_script.py 15 30
33	:	1598684479.817	    34.896	0	381	0	0	python main_script.py 26 30
9	:	1598684479.771	    35.822	0	383	0	0	python main_script.py 14 30
24	:	1598684479.799	    56.433	0	384	0	0	python main_script.py 21 60
30	:	1598684479.811	    56.543	0	382	0	0	python main_script.py 24 60
8	:	1598684479.769	    56.898	0	382	0	0	python main_script.py 13 60
20	:	1598684479.792	    57.776	0	367	0	0	python main_script.py 19 60
22	:	1598684479.795	    57.934	0	369	0	0	python main_script.py 20 60
6	:	1598684479.766	    58.112	0	381	0	0	python main_script.py 12 60
2	:	1598684479.758	    58.145	0	382	0	0	python main_script.py 10 60
28	:	1598684479.807	    58.246	0	381	0	0	python main_script.py 23 60
10	:	1598684479.773	    58.378	0	381	0	0	python main_script.py 14 60
14	:	1598684479.780	    58.529	0	382	0	0	python main_script.py 16 60
18	:	1598684479.788	    58.632	0	366	0	0	python main_script.py 18 60
12	:	1598684479.777	    58.740	0	377	0	0	python main_script.py 15 60
16	:	1598684479.784	    58.893	0	382	0	0	python main_script.py 17 60
4	:	1598684479.762	    59.139	0	383	0	0	python main_script.py 11 60
26	:	1598684479.803	    59.331	0	381	0	0	python main_script.py 22 60
32	:	1598684479.815	   554.312	0	400	0	0	python main_script.py 25 60
34	:	1598684479.819	   898.095	0	818	0	0	python main_script.py 26 60
36	:	1598684479.822	  1191.338	0	823	0	0	python main_script.py 27 60
38	:	1598684479.826	  1513.082	0	1239	0	0	python main_script.py 28 60
