Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
63	:	1598781248.386	     4.558	0	35	0	0	python main_script.py 3 2 40 0.09
40	:	1598781248.336	     4.661	0	35	0	0	python main_script.py 2 4 10 0.12
38	:	1598781248.332	     4.711	0	35	0	0	python main_script.py 2 4 20 0.12
41	:	1598781248.339	     4.750	0	35	0	0	python main_script.py 2 5 50 0.09
36	:	1598781248.328	     4.767	0	35	0	0	python main_script.py 2 4 30 0.12
42	:	1598781248.341	     4.759	0	35	0	0	python main_script.py 2 5 50 0.12
23	:	1598781248.302	     4.803	0	35	0	0	python main_script.py 2 3 40 0.09
43	:	1598781248.343	     4.794	0	35	0	0	python main_script.py 2 5 40 0.09
39	:	1598781248.334	     4.812	0	35	0	0	python main_script.py 2 4 10 0.09
18	:	1598781248.292	     4.859	0	35	0	0	python main_script.py 2 2 20 0.12
16	:	1598781248.288	     4.869	0	35	0	0	python main_script.py 2 2 30 0.12
26	:	1598781248.308	     4.859	0	35	0	0	python main_script.py 2 3 30 0.12
24	:	1598781248.304	     4.865	0	35	0	0	python main_script.py 2 3 40 0.12
34	:	1598781248.324	     4.874	0	35	0	0	python main_script.py 2 4 40 0.12
13	:	1598781248.282	     4.921	0	35	0	0	python main_script.py 2 2 40 0.09
67	:	1598781248.395	     4.832	0	35	0	0	python main_script.py 3 2 20 0.09
25	:	1598781248.306	     4.927	0	35	0	0	python main_script.py 2 3 30 0.09
21	:	1598781248.298	     4.939	0	35	0	0	python main_script.py 2 3 50 0.09
62	:	1598781248.384	     4.855	0	35	0	0	python main_script.py 3 2 50 0.12
32	:	1598781248.320	     4.924	0	35	0	0	python main_script.py 2 4 50 0.12
27	:	1598781248.310	     4.956	0	35	0	0	python main_script.py 2 3 20 0.09
78	:	1598781248.425	     4.847	0	35	0	0	python main_script.py 3 3 20 0.12
64	:	1598781248.388	     4.894	0	35	0	0	python main_script.py 3 2 40 0.12
15	:	1598781248.286	     5.006	0	35	0	0	python main_script.py 2 2 30 0.09
49	:	1598781248.355	     4.941	0	35	0	0	python main_script.py 2 5 10 0.09
77	:	1598781248.422	     4.884	0	35	0	0	python main_script.py 3 3 20 0.09
37	:	1598781248.330	     4.981	0	35	0	0	python main_script.py 2 4 20 0.09
68	:	1598781248.398	     4.914	0	35	0	0	python main_script.py 3 2 20 0.12
48	:	1598781248.353	     4.970	0	35	0	0	python main_script.py 2 5 20 0.12
30	:	1598781248.316	     5.009	0	35	0	0	python main_script.py 2 3 10 0.12
73	:	1598781248.411	     4.914	0	35	0	0	python main_script.py 3 3 40 0.09
35	:	1598781248.326	     5.008	0	35	0	0	python main_script.py 2 4 30 0.09
71	:	1598781248.405	     4.930	0	35	0	0	python main_script.py 3 3 50 0.09
72	:	1598781248.408	     4.936	0	35	0	0	python main_script.py 3 3 50 0.12
75	:	1598781248.417	     4.927	0	35	0	0	python main_script.py 3 3 30 0.09
74	:	1598781248.413	     4.938	0	35	0	0	python main_script.py 3 3 40 0.12
44	:	1598781248.345	     5.063	0	35	0	0	python main_script.py 2 5 40 0.12
12	:	1598781248.280	     5.134	0	35	0	0	python main_script.py 2 2 50 0.12
