Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
13	:	1596650197.373	    25.128	0	35	0	0	python main_script.py 4 3 40
55	:	1596650197.465	    25.041	0	35	0	0	python main_script.py 5 4 30
28	:	1596650197.404	    25.111	0	35	0	0	python main_script.py 4 4 15
44	:	1596650197.438	    25.078	0	35	0	0	python main_script.py 5 3 35
19	:	1596650197.386	    25.144	0	35	0	0	python main_script.py 4 3 10
60	:	1596650197.477	    25.053	0	35	0	0	python main_script.py 5 4 5
17	:	1596650197.381	    25.161	0	35	0	0	python main_script.py 4 3 20
21	:	1596650197.390	    25.152	0	35	0	0	python main_script.py 4 4 50
48	:	1596650197.446	    25.097	0	35	0	0	python main_script.py 5 3 15
11	:	1596650197.369	    25.184	0	35	0	0	python main_script.py 4 3 50
49	:	1596650197.449	    25.105	0	35	0	0	python main_script.py 5 3 10
56	:	1596650197.467	    25.086	0	35	0	0	python main_script.py 5 4 25
30	:	1596650197.408	    25.153	0	35	0	0	python main_script.py 4 4 5
54	:	1596650197.462	    25.100	0	35	0	0	python main_script.py 5 4 35
59	:	1596650197.475	    25.087	0	35	0	0	python main_script.py 5 4 10
42	:	1596650197.433	    25.132	0	35	0	0	python main_script.py 5 3 45
47	:	1596650197.444	    25.121	0	35	0	0	python main_script.py 5 3 20
45	:	1596650197.440	    25.129	0	35	0	0	python main_script.py 5 3 30
26	:	1596650197.400	    25.169	0	35	0	0	python main_script.py 4 4 25
50	:	1596650197.452	    25.119	0	35	0	0	python main_script.py 5 3 5
52	:	1596650197.456	    25.115	0	35	0	0	python main_script.py 5 4 45
18	:	1596650197.384	    25.189	0	35	0	0	python main_script.py 4 3 15
57	:	1596650197.470	    25.103	0	35	0	0	python main_script.py 5 4 20
20	:	1596650197.388	    25.185	0	35	0	0	python main_script.py 4 3 5
14	:	1596650197.376	    25.206	0	35	0	0	python main_script.py 4 3 35
53	:	1596650197.458	    25.125	0	35	0	0	python main_script.py 5 4 40
24	:	1596650197.396	    25.190	0	35	0	0	python main_script.py 4 4 35
27	:	1596650197.402	    25.184	0	35	0	0	python main_script.py 4 4 20
41	:	1596650197.431	    25.155	0	35	0	0	python main_script.py 5 3 50
43	:	1596650197.435	    25.163	0	35	0	0	python main_script.py 5 3 40
51	:	1596650197.454	    25.144	0	35	0	0	python main_script.py 5 4 50
58	:	1596650197.473	    25.136	0	35	0	0	python main_script.py 5 4 15
12	:	1596650197.371	    25.248	0	35	0	0	python main_script.py 4 3 45
16	:	1596650197.380	    25.240	0	35	0	0	python main_script.py 4 3 25
22	:	1596650197.392	    25.229	0	35	0	0	python main_script.py 4 4 45
25	:	1596650197.398	    25.223	0	35	0	0	python main_script.py 4 4 30
15	:	1596650197.378	    25.259	0	35	0	0	python main_script.py 4 3 30
23	:	1596650197.394	    25.243	0	35	0	0	python main_script.py 4 4 40
29	:	1596650197.406	    25.232	0	35	0	0	python main_script.py 4 4 10
46	:	1596650197.442	    25.223	0	35	0	0	python main_script.py 5 3 25
85	:	1596650222.535	     3.963	0	35	0	0	python main_script.py 6 4 30
88	:	1596650222.553	     3.950	0	35	0	0	python main_script.py 6 4 15
84	:	1596650222.530	     4.032	0	35	0	0	python main_script.py 6 4 35
83	:	1596650222.520	     4.131	0	35	0	0	python main_script.py 6 4 40
115	:	1596650222.671	     4.020	0	35	0	0	python main_script.py 7 4 30
82	:	1596650222.514	     4.200	0	35	0	0	python main_script.py 6 4 45
86	:	1596650222.542	     4.177	0	35	0	0	python main_script.py 6 4 25
117	:	1596650222.681	     4.074	0	35	0	0	python main_script.py 7 4 20
113	:	1596650222.661	     4.121	0	35	0	0	python main_script.py 7 4 40
116	:	1596650222.676	     4.110	0	35	0	0	python main_script.py 7 4 25
111	:	1596650222.651	     4.144	0	35	0	0	python main_script.py 7 4 50
90	:	1596650222.561	     4.247	0	35	0	0	python main_script.py 6 4 5
81	:	1596650222.506	     4.307	0	35	0	0	python main_script.py 6 4 50
112	:	1596650222.655	     4.164	0	35	0	0	python main_script.py 7 4 45
119	:	1596650222.689	     4.147	0	35	0	0	python main_script.py 7 4 10
87	:	1596650222.548	     4.385	0	35	0	0	python main_script.py 6 4 20
118	:	1596650222.685	     4.400	0	35	0	0	python main_script.py 7 4 15
89	:	1596650222.557	     4.643	0	35	0	0	python main_script.py 6 4 10
114	:	1596650222.666	     4.657	0	35	0	0	python main_script.py 7 4 35
120	:	1596650222.693	     4.684	0	35	0	0	python main_script.py 7 4 5
10	:	1596650197.367	    62.549	0	368	0	0	python main_script.py 4 2 5
9	:	1596650197.365	    63.302	0	356	0	0	python main_script.py 4 2 10
7	:	1596650197.361	    63.720	0	355	0	0	python main_script.py 4 2 20
8	:	1596650197.363	    63.792	0	369	0	0	python main_script.py 4 2 15
6	:	1596650197.359	    68.490	0	369	0	0	python main_script.py 4 2 25
5	:	1596650197.357	    71.984	0	370	0	0	python main_script.py 4 2 30
39	:	1596650197.426	    71.940	0	357	0	0	python main_script.py 5 2 10
40	:	1596650197.429	    73.794	0	369	0	0	python main_script.py 5 2 5
37	:	1596650197.422	    73.835	0	356	0	0	python main_script.py 5 2 20
38	:	1596650197.424	    73.854	0	370	0	0	python main_script.py 5 2 15
4	:	1596650197.355	    76.088	0	356	0	0	python main_script.py 4 2 35
36	:	1596650197.421	    80.115	0	355	0	0	python main_script.py 5 2 25
69	:	1596650197.504	    83.032	0	371	0	0	python main_script.py 6 2 10
3	:	1596650197.353	    84.295	0	369	0	0	python main_script.py 4 2 40
79	:	1596650197.534	    84.789	0	372	0	0	python main_script.py 6 3 10
78	:	1596650197.530	    84.907	0	370	0	0	python main_script.py 6 3 15
67	:	1596650197.499	    85.177	0	371	0	0	python main_script.py 6 2 20
68	:	1596650197.501	    85.219	0	370	0	0	python main_script.py 6 2 15
2	:	1596650197.351	    85.386	0	354	0	0	python main_script.py 4 2 45
80	:	1596650197.537	    85.259	0	371	0	0	python main_script.py 6 3 5
77	:	1596650197.527	    86.166	0	370	0	0	python main_script.py 6 3 20
70	:	1596650197.507	    86.500	0	369	0	0	python main_script.py 6 2 5
35	:	1596650197.419	    87.300	0	355	0	0	python main_script.py 5 2 30
1	:	1596650197.349	    88.315	0	368	0	0	python main_script.py 4 2 50
76	:	1596650197.524	    91.857	0	355	0	0	python main_script.py 6 3 25
34	:	1596650197.417	    92.217	0	352	0	0	python main_script.py 5 2 35
66	:	1596650197.494	    94.256	0	354	0	0	python main_script.py 6 2 25
33	:	1596650197.414	    95.342	0	370	0	0	python main_script.py 5 2 40
65	:	1596650197.491	    97.975	0	370	0	0	python main_script.py 6 2 30
75	:	1596650197.521	    98.379	0	370	0	0	python main_script.py 6 3 30
32	:	1596650197.412	   100.401	0	369	0	0	python main_script.py 5 2 45
64	:	1596650197.488	   103.672	0	355	0	0	python main_script.py 6 2 35
74	:	1596650197.519	   104.520	0	368	0	0	python main_script.py 6 3 35
31	:	1596650197.410	   104.717	0	367	0	0	python main_script.py 5 2 50
63	:	1596650197.485	   110.417	0	370	0	0	python main_script.py 6 2 40
73	:	1596650197.515	   110.447	0	369	0	0	python main_script.py 6 3 40
110	:	1596650222.647	    92.406	0	371	0	0	python main_script.py 7 3 5
100	:	1596650222.601	    93.055	0	371	0	0	python main_script.py 7 2 5
108	:	1596650222.636	    93.627	0	363	0	0	python main_script.py 7 3 15
97	:	1596650222.590	    94.142	0	370	0	0	python main_script.py 7 2 20
99	:	1596650222.597	    94.630	0	371	0	0	python main_script.py 7 2 10
98	:	1596650222.593	    95.065	0	370	0	0	python main_script.py 7 2 15
107	:	1596650222.632	    95.058	0	370	0	0	python main_script.py 7 3 20
109	:	1596650222.643	    96.182	0	371	0	0	python main_script.py 7 3 10
106	:	1596650222.628	   103.871	0	370	0	0	python main_script.py 7 3 25
96	:	1596650222.585	   105.078	0	371	0	0	python main_script.py 7 2 25
130	:	1596650226.794	   102.446	0	371	0	0	python main_script.py 8 2 5
140	:	1596650227.390	   105.120	0	372	0	0	python main_script.py 8 3 5
139	:	1596650227.329	   105.691	0	355	0	0	python main_script.py 8 3 10
127	:	1596650226.723	   106.375	0	371	0	0	python main_script.py 8 2 20
138	:	1596650227.205	   106.298	0	371	0	0	python main_script.py 8 3 15
129	:	1596650226.787	   107.752	0	357	0	0	python main_script.py 8 2 10
128	:	1596650226.759	   107.921	0	371	0	0	python main_script.py 8 2 15
137	:	1596650227.093	   109.762	0	358	0	0	python main_script.py 8 3 20
