Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
45	:	1596295256.159	     4.384	0	36	0	0	python trial_run.py 3 1 10
11	:	1596295256.084	     4.477	0	36	0	0	python trial_run.py 2 1 30
24	:	1596295256.112	     4.476	0	36	0	0	python trial_run.py 2 1 4
26	:	1596295256.116	     4.486	0	36	0	0	python trial_run.py 3 1 48
22	:	1596295256.107	     4.500	0	36	0	0	python trial_run.py 2 1 8
16	:	1596295256.094	     4.514	0	36	0	0	python trial_run.py 2 1 20
18	:	1596295256.098	     4.521	0	36	0	0	python trial_run.py 2 1 16
30	:	1596295256.126	     4.519	0	36	0	0	python trial_run.py 3 1 40
13	:	1596295256.088	     4.559	0	36	0	0	python trial_run.py 2 1 26
14	:	1596295256.090	     4.562	0	36	0	0	python trial_run.py 2 1 24
8	:	1596295256.079	     4.582	0	36	0	0	python trial_run.py 2 1 36
10	:	1596295256.083	     4.587	0	36	0	0	python trial_run.py 2 1 32
36	:	1596295256.138	     4.538	0	36	0	0	python trial_run.py 3 1 28
21	:	1596295256.105	     4.582	0	36	0	0	python trial_run.py 2 1 10
27	:	1596295256.119	     4.575	0	36	0	0	python trial_run.py 3 1 46
35	:	1596295256.136	     4.559	0	36	0	0	python trial_run.py 3 1 30
47	:	1596295256.164	     4.537	0	36	0	0	python trial_run.py 3 1 6
6	:	1596295256.075	     4.638	0	36	0	0	python trial_run.py 2 1 40
20	:	1596295256.103	     4.617	0	36	0	0	python trial_run.py 2 1 12
56	:	1596295256.186	     4.534	0	36	0	0	python trial_run.py 4 1 36
4	:	1596295256.071	     4.653	0	36	0	0	python trial_run.py 2 1 44
19	:	1596295256.101	     4.623	0	36	0	0	python trial_run.py 2 1 14
49	:	1596295256.168	     4.562	0	36	0	0	python trial_run.py 4 1 50
3	:	1596295256.069	     4.661	0	36	0	0	python trial_run.py 2 1 46
2	:	1596295256.067	     4.672	0	36	0	0	python trial_run.py 2 1 48
64	:	1596295256.212	     4.532	0	36	0	0	python trial_run.py 4 1 20
44	:	1596295256.157	     4.590	0	36	0	0	python trial_run.py 3 1 12
5	:	1596295256.073	     4.674	0	36	0	0	python trial_run.py 2 1 42
28	:	1596295256.121	     4.634	0	36	0	0	python trial_run.py 3 1 44
33	:	1596295256.132	     4.625	0	36	0	0	python trial_run.py 3 1 34
41	:	1596295256.149	     4.608	0	36	0	0	python trial_run.py 3 1 18
53	:	1596295256.180	     4.576	0	36	0	0	python trial_run.py 4 1 42
63	:	1596295256.209	     4.547	0	36	0	0	python trial_run.py 4 1 22
80	:	1596295256.253	     4.507	0	36	0	0	python trial_run.py 5 1 36
48	:	1596295256.166	     4.605	0	36	0	0	python trial_run.py 3 1 4
68	:	1596295256.223	     4.562	0	36	0	0	python trial_run.py 4 1 12
77	:	1596295256.245	     4.542	0	36	0	0	python trial_run.py 5 1 42
54	:	1596295256.182	     4.619	0	36	0	0	python trial_run.py 4 1 40
78	:	1596295256.247	     4.564	0	36	0	0	python trial_run.py 5 1 40
65	:	1596295256.215	     4.601	0	36	0	0	python trial_run.py 4 1 18
25	:	1596295256.114	     4.710	0	36	0	0	python trial_run.py 3 1 50
61	:	1596295256.204	     4.621	0	36	0	0	python trial_run.py 4 1 26
55	:	1596295256.184	     4.651	0	36	0	0	python trial_run.py 4 1 38
66	:	1596295256.217	     4.625	0	36	0	0	python trial_run.py 4 1 16
42	:	1596295256.151	     4.697	0	36	0	0	python trial_run.py 3 1 16
73	:	1596295256.234	     4.615	0	36	0	0	python trial_run.py 5 1 50
9	:	1596295256.081	     4.774	0	36	0	0	python trial_run.py 2 1 34
43	:	1596295256.154	     4.703	0	36	0	0	python trial_run.py 3 1 14
79	:	1596295256.250	     4.611	0	36	0	0	python trial_run.py 5 1 38
29	:	1596295256.124	     4.737	0	36	0	0	python trial_run.py 3 1 42
67	:	1596295256.220	     4.645	0	36	0	0	python trial_run.py 4 1 14
12	:	1596295256.086	     4.785	0	36	0	0	python trial_run.py 2 1 28
71	:	1596295256.229	     4.646	0	36	0	0	python trial_run.py 4 1 6
70	:	1596295256.227	     4.653	0	36	0	0	python trial_run.py 4 1 8
51	:	1596295256.174	     4.710	0	36	0	0	python trial_run.py 4 1 46
40	:	1596295256.146	     4.753	0	36	0	0	python trial_run.py 3 1 20
75	:	1596295256.239	     4.664	0	36	0	0	python trial_run.py 5 1 46
69	:	1596295256.225	     4.678	0	36	0	0	python trial_run.py 4 1 10
31	:	1596295256.128	     4.779	0	36	0	0	python trial_run.py 3 1 38
60	:	1596295256.201	     4.712	0	36	0	0	python trial_run.py 4 1 28
34	:	1596295256.134	     4.783	0	36	0	0	python trial_run.py 3 1 32
52	:	1596295256.177	     4.750	0	36	0	0	python trial_run.py 4 1 44
46	:	1596295256.161	     4.782	0	36	0	0	python trial_run.py 3 1 8
59	:	1596295256.196	     4.752	0	36	0	0	python trial_run.py 4 1 30
50	:	1596295256.171	     4.793	0	36	0	0	python trial_run.py 4 1 48
39	:	1596295256.144	     4.843	0	36	0	0	python trial_run.py 3 1 22
32	:	1596295256.130	     4.887	0	36	0	0	python trial_run.py 3 1 36
37	:	1596295256.140	     4.878	0	36	0	0	python trial_run.py 3 1 26
76	:	1596295256.242	     4.788	0	36	0	0	python trial_run.py 5 1 44
38	:	1596295256.143	     4.895	0	36	0	0	python trial_run.py 3 1 24
1	:	1596295256.065	     4.987	0	36	0	0	python trial_run.py 2 1 50
72	:	1596295256.232	     4.854	0	36	0	0	python trial_run.py 4 1 4
57	:	1596295256.189	     4.935	0	36	0	0	python trial_run.py 4 1 34
74	:	1596295256.237	     4.905	0	36	0	0	python trial_run.py 5 1 48
17	:	1596295256.096	     5.069	0	36	0	0	python trial_run.py 2 1 18
15	:	1596295256.092	     5.085	0	36	0	0	python trial_run.py 2 1 22
7	:	1596295256.077	     5.115	0	36	0	0	python trial_run.py 2 1 38
62	:	1596295256.207	     5.035	0	36	0	0	python trial_run.py 4 1 24
58	:	1596295256.193	     5.425	0	36	0	0	python trial_run.py 4 1 32
23	:	1596295256.109	     5.680	0	36	0	0	python trial_run.py 2 1 6
90	:	1596295260.660	     4.107	0	36	0	0	python trial_run.py 5 1 16
103	:	1596295260.744	     4.108	0	36	0	0	python trial_run.py 6 1 38
104	:	1596295260.747	     4.174	0	36	0	0	python trial_run.py 6 1 36
85	:	1596295260.619	     4.328	0	36	0	0	python trial_run.py 5 1 26
82	:	1596295260.567	     4.452	0	36	0	0	python trial_run.py 5 1 32
92	:	1596295260.675	     4.351	0	36	0	0	python trial_run.py 5 1 12
111	:	1596295260.781	     4.261	0	36	0	0	python trial_run.py 6 1 22
106	:	1596295260.756	     4.286	0	36	0	0	python trial_run.py 6 1 32
91	:	1596295260.666	     4.382	0	36	0	0	python trial_run.py 5 1 14
96	:	1596295260.708	     4.371	0	36	0	0	python trial_run.py 5 1 4
95	:	1596295260.702	     4.384	0	36	0	0	python trial_run.py 5 1 6
98	:	1596295260.720	     4.371	0	36	0	0	python trial_run.py 6 1 48
112	:	1596295260.786	     4.319	0	36	0	0	python trial_run.py 6 1 20
107	:	1596295260.761	     4.351	0	36	0	0	python trial_run.py 6 1 30
110	:	1596295260.776	     4.336	0	36	0	0	python trial_run.py 6 1 24
105	:	1596295260.752	     4.371	0	36	0	0	python trial_run.py 6 1 34
108	:	1596295260.765	     4.359	0	36	0	0	python trial_run.py 6 1 28
94	:	1596295260.694	     4.436	0	36	0	0	python trial_run.py 5 1 8
116	:	1596295260.806	     4.325	0	36	0	0	python trial_run.py 6 1 12
109	:	1596295260.771	     4.364	0	36	0	0	python trial_run.py 6 1 26
143	:	1596295260.948	     4.187	0	36	0	0	python trial_run.py 7 1 6
97	:	1596295260.714	     4.431	0	36	0	0	python trial_run.py 6 1 50
86	:	1596295260.625	     4.526	0	36	0	0	python trial_run.py 5 1 24
113	:	1596295260.791	     4.364	0	36	0	0	python trial_run.py 6 1 18
101	:	1596295260.735	     4.430	0	36	0	0	python trial_run.py 6 1 42
100	:	1596295260.729	     4.437	0	36	0	0	python trial_run.py 6 1 44
114	:	1596295260.796	     4.371	0	36	0	0	python trial_run.py 6 1 16
87	:	1596295260.646	     4.534	0	36	0	0	python trial_run.py 5 1 22
118	:	1596295260.815	     4.388	0	36	0	0	python trial_run.py 6 1 8
123	:	1596295260.840	     4.370	0	36	0	0	python trial_run.py 7 1 46
125	:	1596295260.856	     4.354	0	36	0	0	python trial_run.py 7 1 42
89	:	1596295260.656	     4.567	0	36	0	0	python trial_run.py 5 1 18
126	:	1596295260.861	     4.373	0	37	0	0	python trial_run.py 7 1 40
93	:	1596295260.687	     4.549	0	36	0	0	python trial_run.py 5 1 10
129	:	1596295260.876	     4.361	0	37	0	0	python trial_run.py 7 1 34
102	:	1596295260.739	     4.526	0	36	0	0	python trial_run.py 6 1 40
124	:	1596295260.848	     4.421	0	37	0	0	python trial_run.py 7 1 44
120	:	1596295260.824	     4.467	0	36	0	0	python trial_run.py 6 1 4
136	:	1596295260.907	     4.386	0	37	0	0	python trial_run.py 7 1 20
144	:	1596295260.955	     4.350	0	36	0	0	python trial_run.py 7 1 4
121	:	1596295260.830	     4.483	0	37	0	0	python trial_run.py 7 1 50
122	:	1596295260.835	     4.517	0	37	0	0	python trial_run.py 7 1 48
141	:	1596295260.938	     4.417	0	37	0	0	python trial_run.py 7 1 10
155	:	1596295261.174	     4.181	0	37	0	0	python trial_run.py 8 1 30
128	:	1596295260.871	     4.486	0	36	0	0	python trial_run.py 7 1 36
133	:	1596295260.894	     4.467	0	36	0	0	python trial_run.py 7 1 26
117	:	1596295260.811	     4.553	0	36	0	0	python trial_run.py 6 1 10
134	:	1596295260.898	     4.471	0	36	0	0	python trial_run.py 7 1 24
130	:	1596295260.880	     4.510	0	37	0	0	python trial_run.py 7 1 32
150	:	1596295261.043	     4.351	0	37	0	0	python trial_run.py 8 1 40
152	:	1596295261.092	     4.316	0	37	0	0	python trial_run.py 8 1 36
142	:	1596295260.942	     4.473	0	36	0	0	python trial_run.py 7 1 8
131	:	1596295260.884	     4.532	0	36	0	0	python trial_run.py 7 1 30
99	:	1596295260.724	     4.730	0	36	0	0	python trial_run.py 6 1 46
88	:	1596295260.652	     4.802	0	36	0	0	python trial_run.py 5 1 20
153	:	1596295261.128	     4.349	0	37	0	0	python trial_run.py 8 1 34
151	:	1596295261.058	     4.424	0	37	0	0	python trial_run.py 8 1 38
156	:	1596295261.183	     4.305	0	37	0	0	python trial_run.py 8 1 28
154	:	1596295261.148	     4.359	0	36	0	0	python trial_run.py 8 1 32
83	:	1596295260.594	     4.924	0	36	0	0	python trial_run.py 5 1 30
81	:	1596295260.548	     4.971	0	36	0	0	python trial_run.py 5 1 34
149	:	1596295261.038	     4.513	0	36	0	0	python trial_run.py 8 1 42
158	:	1596295261.249	     4.307	0	36	0	0	python trial_run.py 8 1 24
157	:	1596295261.198	     4.358	0	36	0	0	python trial_run.py 8 1 26
135	:	1596295260.902	     4.659	0	36	0	0	python trial_run.py 7 1 22
84	:	1596295260.607	     4.984	0	36	0	0	python trial_run.py 5 1 28
115	:	1596295260.800	     4.831	0	36	0	0	python trial_run.py 6 1 14
119	:	1596295260.820	     4.927	0	36	0	0	python trial_run.py 6 1 6
127	:	1596295260.866	     4.886	0	36	0	0	python trial_run.py 7 1 38
132	:	1596295260.888	     4.887	0	36	0	0	python trial_run.py 7 1 28
159	:	1596295261.624	     4.665	0	36	0	0	python trial_run.py 8 1 22
160	:	1596295261.794	     4.502	0	36	0	0	python trial_run.py 8 1 20
161	:	1596295264.775	     2.746	0	36	0	0	python trial_run.py 8 1 18
162	:	1596295264.859	     2.812	0	36	0	0	python trial_run.py 8 1 16
165	:	1596295265.027	     2.663	0	36	0	0	python trial_run.py 8 1 10
164	:	1596295264.954	     2.795	0	36	0	0	python trial_run.py 8 1 12
168	:	1596295265.054	     2.696	0	36	0	0	python trial_run.py 8 1 4
166	:	1596295265.034	     2.732	0	36	0	0	python trial_run.py 8 1 8
180	:	1596295265.152	     2.620	0	37	0	0	python trial_run.py 9 1 28
181	:	1596295265.166	     2.639	0	37	0	0	python trial_run.py 9 1 26
163	:	1596295264.927	     2.904	0	36	0	0	python trial_run.py 8 1 14
167	:	1596295265.048	     2.797	0	36	0	0	python trial_run.py 8 1 6
179	:	1596295265.145	     2.717	0	36	0	0	python trial_run.py 9 1 30
178	:	1596295265.140	     2.775	0	36	0	0	python trial_run.py 9 1 32
185	:	1596295265.192	     2.735	0	36	0	0	python trial_run.py 9 1 18
190	:	1596295265.223	     2.723	0	36	0	0	python trial_run.py 9 1 8
189	:	1596295265.218	     2.743	0	36	0	0	python trial_run.py 9 1 10
182	:	1596295265.173	     2.803	0	36	0	0	python trial_run.py 9 1 24
175	:	1596295265.122	     2.881	0	37	0	0	python trial_run.py 9 1 38
184	:	1596295265.186	     2.838	0	37	0	0	python trial_run.py 9 1 20
191	:	1596295265.227	     2.828	0	36	0	0	python trial_run.py 9 1 6
188	:	1596295265.214	     2.844	0	36	0	0	python trial_run.py 9 1 12
183	:	1596295265.179	     2.899	0	36	0	0	python trial_run.py 9 1 22
192	:	1596295265.231	     2.888	0	36	0	0	python trial_run.py 9 1 4
186	:	1596295265.198	     2.955	0	36	0	0	python trial_run.py 9 1 16
177	:	1596295265.135	     3.052	0	37	0	0	python trial_run.py 9 1 34
176	:	1596295265.130	     3.095	0	36	0	0	python trial_run.py 9 1 36
187	:	1596295265.202	     3.027	0	36	0	0	python trial_run.py 9 1 14
174	:	1596295265.117	  2774.517	0	136	0	0	python trial_run.py 9 1 40
